1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour pneumopathie,Taux d'hospitalisations après passages aux urgences pour pneumopathie,Taux d'actes médicaux SOS médecins pour pneumopathie
2021-04-19,2021-S16,32,Hauts-de-France,65 ans ou plus,2660.3136788,4511.2781955,846.02368866
2021-04-26,2021-S17,32,Hauts-de-France,05-14 ans,0.0,0.0,0.0
2021-04-26,2021-S17,32,Hauts-de-France,15-64 ans,749.29275939,2844.083291,238.80597015
2021-04-26,2021-S17,32,Hauts-de-France,Tous âges,1055.7360233,3669.3191866,301.37502354
2021-05-03,2021-S18,32,Hauts-de-France,00-04 ans,559.62117951,1428.5714286,204.08163265
2021-05-03,2021-S18,32,Hauts-de-France,15-64 ans,474.9183734,1838.6108274,136.76148796
2021-05-03,2021-S18,32,Hauts-de-France,65 ans ou plus,2886.6373542,4976.5258216,1258.9928058
2021-05-10,2021-S19,32,Hauts-de-France,00-04 ans,258.39793282,1013.5135135,473.55958958
2021-05-10,2021-S19,32,Hauts-de-France,15-64 ans,527.52134379,1854.6365915,73.964497041
2021-05-10,2021-S19,32,Hauts-de-France,65 ans ou plus,2337.6125695,4483.4307992,1624.8153619
2021-05-17,2021-S20,32,Hauts-de-France,00-04 ans,312.74433151,341.29692833,83.89261745
2021-05-17,2021-S20,32,Hauts-de-France,15-64 ans,402.58207816,1810.8651911,303.38389732
2021-05-24,2021-S21,32,Hauts-de-France,Tous âges,802.95055515,2822.2222222,294.07833177
2021-05-31,2021-S22,32,Hauts-de-France,00-04 ans,634.24947146,1671.3091922,561.79775281
2021-05-31,2021-S22,32,Hauts-de-France,05-14 ans,166.78579938,1185.770751,188.32391714
2021-05-31,2021-S22,32,Hauts-de-France,Tous âges,759.4402644,2845.4452405,246.77817384
2021-06-07,2021-S23,32,Hauts-de-France,05-14 ans,67.264573991,719.42446043,0.0
2021-06-07,2021-S23,32,Hauts-de-France,15-64 ans,298.69321717,1418.7866928,159.78087195
2021-06-14,2021-S24,32,Hauts-de-France,00-04 ans,761.96281621,1044.386423,360.57692308
2021-06-14,2021-S24,32,Hauts-de-France,05-14 ans,23.110700254,0.0,333.33333333
2021-06-14,2021-S24,32,Hauts-de-France,65 ans ou plus,2456.9583931,4522.3811721,1178.4511785
2021-06-21,2021-S25,32,Hauts-de-France,00-04 ans,460.52631579,840.33613445,179.53321364
2021-06-21,2021-S25,32,Hauts-de-France,15-64 ans,325.73289902,1235.1543943,44.893378227
2021-06-21,2021-S25,32,Hauts-de-France,Tous âges,609.75609756,2202.9231095,112.75369582
2021-06-28,2021-S26,32,Hauts-de-France,15-64 ans,386.34492368,1621.3389121,175.16969564
2021-07-05,2021-S27,32,Hauts-de-France,00-04 ans,743.61461364,967.74193548,371.7472119
