1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour allergie,Taux d'hospitalisations après passages aux urgences pour allergie,Taux d'actes médicaux SOS médecins pour allergie
2022-12-05,2022-S49,27,Bourgogne et Franche-Comté,00-14 ans,715.36144578,398.4063745,773.99380805
2022-12-12,2022-S50,27,Bourgogne et Franche-Comté,Tous âges,611.8589387,241.80548092,282.58565878
2022-12-19,2022-S51,27,Bourgogne et Franche-Comté,15-64 ans,711.56913262,280.8988764,550.96418733
2022-12-19,2022-S51,27,Bourgogne et Franche-Comté,Tous âges,631.60248169,161.59439806,505.52922591
2022-12-26,2022-S52,27,Bourgogne et Franche-Comté,00-14 ans,1162.7906977,253.16455696,756.62042875
2022-12-26,2022-S52,27,Bourgogne et Franche-Comté,65 ans ou plus,301.14434852,89.686098655,539.08355795
2023-01-02,2023-S01,27,Bourgogne et Franche-Comté,65 ans ou plus,292.92474087,46.576618537,352.11267606
2023-01-09,2023-S02,27,Bourgogne et Franche-Comté,15-64 ans,623.78708068,267.85714286,1093.2105869
2023-01-23,2023-S04,27,Bourgogne et Franche-Comté,Tous âges,681.89341278,346.52035807,928.57142857
2023-01-30,2023-S05,27,Bourgogne et Franche-Comté,00-14 ans,901.91657272,1412.4293785,502.00803213
2022-03-14,2022-S11,27,Bourgogne et Franche-Comté,65 ans ou plus,322.65498963,149.55134596,2793.2960894
2022-03-14,2022-S11,27,Bourgogne et Franche-Comté,Tous âges,656.59881812,290.69767442,719.68333933
2022-03-21,2022-S12,27,Bourgogne et Franche-Comté,15-64 ans,819.94096425,227.44503412,1625.5267911
2022-03-21,2022-S12,27,Bourgogne et Franche-Comté,Tous âges,714.3602044,232.85899094,1448.787062
2022-04-04,2022-S14,27,Bourgogne et Franche-Comté,65 ans ou plus,289.98438546,143.19809069,833.33333333
2022-04-11,2022-S15,27,Bourgogne et Franche-Comté,65 ans ou plus,261.83722453,47.846889952,1136.3636364
2022-04-18,2022-S16,27,Bourgogne et Franche-Comté,65 ans ou plus,542.37288136,303.03030303,1294.4983819
2022-04-18,2022-S16,27,Bourgogne et Franche-Comté,Tous âges,1015.0777633,387.59689922,2237.5915378
2022-04-25,2022-S17,27,Bourgogne et Franche-Comté,65 ans ou plus,426.20008973,249.3765586,819.67213115
2022-04-25,2022-S17,27,Bourgogne et Franche-Comté,Tous âges,771.27323303,507.32807215,2266.4199815
2022-05-02,2022-S18,27,Bourgogne et Franche-Comté,00-14 ans,1151.6853933,923.07692308,4545.4545455
2022-05-02,2022-S18,27,Bourgogne et Franche-Comté,Tous âges,846.5801815,511.36363636,2578.7965616
2022-05-23,2022-S21,27,Bourgogne et Franche-Comté,Tous âges,986.65449983,384.50162674,3803.1319911
2022-06-06,2022-S23,27,Bourgogne et Franche-Comté,15-64 ans,1442.7312775,1536.0983103,2225.2191504
2022-06-06,2022-S23,27,Bourgogne et Franche-Comté,Tous âges,1278.7430472,830.4696449,2552.2041763
2022-06-13,2022-S24,27,Bourgogne et Franche-Comté,00-14 ans,1615.1046406,815.2173913,2384.1059603
2022-06-13,2022-S24,27,Bourgogne et Franche-Comté,15-64 ans,1268.9780195,762.77650648,3103.7093111
2022-06-13,2022-S24,27,Bourgogne et Franche-Comté,65 ans ou plus,417.82729805,263.01946344,930.23255814
2022-06-20,2022-S25,27,Bourgogne et Franche-Comté,00-14 ans,1500.0,549.45054945,1060.0706714
2022-06-27,2022-S26,27,Bourgogne et Franche-Comté,00-14 ans,1078.4313725,566.57223796,1804.1237113
2022-06-27,2022-S26,27,Bourgogne et Franche-Comté,15-64 ans,1870.6333108,1831.8068276,2111.6138763
2022-06-27,2022-S26,27,Bourgogne et Franche-Comté,Tous âges,1390.2681231,836.0704688,1933.8203696
2022-07-11,2022-S28,27,Bourgogne et Franche-Comté,15-64 ans,1805.1326664,951.62569389,1706.2766606
2022-07-11,2022-S28,27,Bourgogne et Franche-Comté,65 ans ou plus,592.23513928,419.06757465,1215.8054711
2022-07-18,2022-S29,27,Bourgogne et Franche-Comté,15-64 ans,2029.0183632,1110.1622545,1533.1010453
2022-07-25,2022-S30,27,Bourgogne et Franche-Comté,00-14 ans,1953.5197036,738.00738007,2910.6029106
2022-07-25,2022-S30,27,Bourgogne et Franche-Comté,15-64 ans,1444.3084455,923.59361881,1860.4651163
2022-08-01,2022-S31,27,Bourgogne et Franche-Comté,00-14 ans,1620.1959307,396.82539683,3218.8841202
2022-08-01,2022-S31,27,Bourgogne et Franche-Comté,15-64 ans,1699.4633274,1945.1812555,1714.731099
2022-08-01,2022-S31,27,Bourgogne et Franche-Comté,Tous âges,1414.1963557,921.80546726,1844.6601942
2022-08-08,2022-S32,27,Bourgogne et Franche-Comté,00-14 ans,1785.7142857,1606.4257028,2895.3229399
2022-08-15,2022-S33,27,Bourgogne et Franche-Comté,00-14 ans,1916.2526615,414.93775934,3087.8859857
2022-08-15,2022-S33,27,Bourgogne et Franche-Comté,15-64 ans,1274.5220542,865.8008658,1651.6516517
2022-08-22,2022-S34,27,Bourgogne et Franche-Comté,00-14 ans,1302.1830716,687.28522337,1995.5654102
2022-08-22,2022-S34,27,Bourgogne et Franche-Comté,15-64 ans,1166.502947,953.89507154,1106.1946903
2022-08-22,2022-S34,27,Bourgogne et Franche-Comté,Tous âges,1052.9868377,701.00579092,1494.6962392
2022-08-29,2022-S35,27,Bourgogne et Franche-Comté,00-14 ans,1680.030546,375.93984962,2040.8163265
2022-08-29,2022-S35,27,Bourgogne et Franche-Comté,65 ans ou plus,832.89953149,414.69194313,1666.6666667
2022-08-29,2022-S35,27,Bourgogne et Franche-Comté,Tous âges,1340.5012916,642.05457464,1281.3941568
2022-09-05,2022-S36,27,Bourgogne et Franche-Comté,65 ans ou plus,577.45418027,334.26183844,800.0
2022-09-12,2022-S37,27,Bourgogne et Franche-Comté,15-64 ans,1084.3373494,635.42494043,1186.7088608
2022-09-12,2022-S37,27,Bourgogne et Franche-Comté,Tous âges,870.71739542,296.03315571,1320.4225352
2022-09-19,2022-S38,27,Bourgogne et Franche-Comté,00-14 ans,1603.0534351,324.67532468,534.75935829
2022-09-19,2022-S38,27,Bourgogne et Franche-Comté,65 ans ou plus,360.23054755,258.39793282,460.82949309
2022-09-19,2022-S38,27,Bourgogne et Franche-Comté,Tous âges,912.19360844,351.49384886,703.6747459
2022-09-26,2022-S39,27,Bourgogne et Franche-Comté,00-14 ans,1080.9451986,914.63414634,770.0770077
2022-09-26,2022-S39,27,Bourgogne et Franche-Comté,Tous âges,895.84328715,392.04704565,1063.0498534
2022-10-10,2022-S41,27,Bourgogne et Franche-Comté,15-64 ans,909.84284533,579.95028998,760.45627376
2024-11-25,2024-S48,27,Bourgogne et Franche-Comté,15-64 ans,433.95022336,587.24832215,786.9884575
2024-11-25,2024-S48,27,Bourgogne et Franche-Comté,65 ans ou plus,402.86481647,98.28009828,1003.3444816
2024-12-02,2024-S49,27,Bourgogne et Franche-Comté,15-64 ans,639.65884861,519.03114187,986.84210526
2024-12-02,2024-S49,27,Bourgogne et Franche-Comté,65 ans ou plus,252.12010085,154.71892728,589.97050147
2024-12-16,2024-S51,27,Bourgogne et Franche-Comté,65 ans ou plus,221.37250956,45.829514207,602.40963855
2024-12-23,2024-S52,27,Bourgogne et Franche-Comté,Tous âges,662.88951841,188.62840205,776.3221737
2019-12-30,2020-S01,28,Normandie,15-64 ans,1026.4176342,540.54054054,810.81081081
2019-12-30,2020-S01,28,Normandie,65 ans ou plus,268.19923372,0.0,631.57894737
2019-12-30,2020-S01,28,Normandie,Tous âges,1028.4882133,211.30480718,913.59958235
2020-01-06,2020-S02,28,Normandie,00-14 ans,1190.7983762,0.0,1628.2225237
2020-01-06,2020-S02,28,Normandie,65 ans ou plus,357.04476792,143.06151645,530.03533569
2020-01-06,2020-S02,28,Normandie,Tous âges,747.98619102,264.1509434,1230.29604
2020-01-13,2020-S03,28,Normandie,65 ans ou plus,87.183958152,0.0,1004.0160643
2020-01-27,2020-S05,28,Normandie,00-14 ans,1290.3225806,332.22591362,999.04852521
2020-02-03,2020-S06,28,Normandie,00-14 ans,1036.9702435,0.0,882.07985144
2020-02-03,2020-S06,28,Normandie,65 ans ou plus,230.28209557,0.0,454.54545455
2020-02-10,2020-S07,28,Normandie,Tous âges,669.88042321,229.00763359,1041.4763384
2020-02-17,2020-S08,28,Normandie,15-64 ans,850.38205571,1071.0808179,1104.9723757
2020-02-17,2020-S08,28,Normandie,Tous âges,751.63183227,519.86632009,1157.8305911
2020-02-24,2020-S09,28,Normandie,00-14 ans,937.39537998,460.82949309,1550.9601182
2020-02-24,2020-S09,28,Normandie,15-64 ans,570.31913603,608.51926978,1032.3468685
2020-02-24,2020-S09,28,Normandie,65 ans ou plus,283.60748724,541.79566563,580.27079304
2020-03-02,2020-S10,28,Normandie,15-64 ans,693.77990431,578.03468208,1100.7911937
2020-03-09,2020-S11,28,Normandie,15-64 ans,710.5459985,215.98272138,857.3388203
2020-03-16,2020-S12,28,Normandie,65 ans ou plus,455.5808656,398.80358923,589.97050147
2020-03-23,2020-S13,28,Normandie,65 ans ou plus,91.911764706,94.966761633,558.65921788
2020-03-23,2020-S13,28,Normandie,Tous âges,533.69740598,100.60362173,2262.2538752
2020-04-06,2020-S15,28,Normandie,15-64 ans,536.08247423,110.98779134,3478.2608696
2020-04-13,2020-S16,28,Normandie,Tous âges,644.35903233,282.08744711,2977.0619815
2020-04-20,2020-S17,28,Normandie,15-64 ans,606.72917816,679.50169875,2892.5619835
2020-04-27,2020-S18,28,Normandie,15-64 ans,728.83573164,471.69811321,2162.5652498
2020-05-04,2020-S19,28,Normandie,65 ans ou plus,132.53810471,0.0,1204.8192771
2020-05-11,2020-S20,28,Normandie,15-64 ans,602.60069775,215.98272138,2712.8862095
2020-05-11,2020-S20,28,Normandie,Tous âges,546.15453487,125.89173311,2609.5060578
2020-05-18,2020-S21,28,Normandie,65 ans ou plus,337.21643164,387.29666925,1183.4319527
2020-05-25,2020-S22,28,Normandie,00-14 ans,1610.0957354,0.0,12474.437628
2020-05-25,2020-S22,28,Normandie,15-64 ans,740.34190335,0.0,8446.3625154
2020-05-25,2020-S22,28,Normandie,Tous âges,750.34106412,39.745627981,7939.5817196
2020-06-01,2020-S23,28,Normandie,00-14 ans,1548.9749431,0.0,11174.242424
2020-06-01,2020-S23,28,Normandie,65 ans ou plus,267.61819804,153.13935681,978.47358121
2020-06-08,2020-S24,28,Normandie,65 ans ou plus,324.10135533,70.224719101,612.24489796
2020-06-29,2020-S27,28,Normandie,00-14 ans,1667.2455714,471.69811321,2766.798419
2020-06-29,2020-S27,28,Normandie,65 ans ou plus,742.64495858,370.37037037,2345.4157783
2020-07-06,2020-S28,28,Normandie,Tous âges,806.61840745,355.0295858,2144.4339325
2020-07-13,2020-S29,28,Normandie,65 ans ou plus,425.89437819,81.103000811,1459.8540146
2020-07-20,2020-S30,28,Normandie,15-64 ans,847.7745917,592.88537549,1747.3789316
2020-07-20,2020-S30,28,Normandie,65 ans ou plus,447.67767208,0.0,197.23865878
2020-07-27,2020-S31,28,Normandie,00-14 ans,1593.9015939,2369.6682464,2577.3195876
2020-07-27,2020-S31,28,Normandie,65 ans ou plus,438.59649123,75.018754689,779.72709552
2020-08-03,2020-S32,28,Normandie,00-14 ans,1029.0334436,0.0,4078.0141844
2020-08-03,2020-S32,28,Normandie,65 ans ou plus,411.20534567,149.47683109,1433.6917563
2020-08-10,2020-S33,28,Normandie,65 ans ou plus,425.2126063,0.0,1096.8921389
2020-08-17,2020-S34,28,Normandie,15-64 ans,987.402111,300.6012024,2288.5572139
2020-08-17,2020-S34,28,Normandie,65 ans ou plus,473.43503419,75.414781297,798.40319361
2020-08-24,2020-S35,28,Normandie,00-14 ans,1146.6011466,552.48618785,1960.7843137
2020-08-24,2020-S35,28,Normandie,65 ans ou plus,553.93586006,327.6003276,1257.8616352
2020-08-31,2020-S36,28,Normandie,00-14 ans,1276.4528048,485.4368932,2092.811647
2020-08-31,2020-S36,28,Normandie,15-64 ans,789.24651622,761.17982873,1783.1325301
2020-08-31,2020-S36,28,Normandie,65 ans ou plus,391.49888143,296.2962963,913.24200913
2020-09-07,2020-S37,28,Normandie,65 ans ou plus,371.21644774,151.86028853,1207.7294686
2020-09-14,2020-S38,28,Normandie,65 ans ou plus,286.20492272,152.3229246,875.27352298
2020-09-21,2020-S39,28,Normandie,00-14 ans,877.19298246,487.80487805,1918.9765458
2020-09-21,2020-S39,28,Normandie,65 ans ou plus,295.68302779,74.906367041,879.12087912
2020-09-28,2020-S40,28,Normandie,65 ans ou plus,328.4562556,216.76300578,218.81838074
2020-10-05,2020-S41,28,Normandie,65 ans ou plus,382.24051749,73.099415205,438.59649123
2020-10-12,2020-S42,28,Normandie,00-14 ans,958.16033216,0.0,1899.3352327
2020-10-19,2020-S43,28,Normandie,00-14 ans,1550.0628404,1714.2857143,2798.9821883
2020-10-19,2020-S43,28,Normandie,65 ans ou plus,286.36884307,69.93006993,1727.4472169
2020-10-26,2020-S44,28,Normandie,00-14 ans,1343.952215,2684.5637584,1747.311828
2020-10-26,2020-S44,28,Normandie,15-64 ans,533.14121037,303.95136778,1223.3801541
2020-10-26,2020-S44,28,Normandie,Tous âges,559.94729908,318.85213232,1467.2036824
2020-11-02,2020-S45,28,Normandie,00-14 ans,842.19858156,0.0,2077.5623269
2020-11-02,2020-S45,28,Normandie,Tous âges,560.32218526,159.10898966,1375.5980861
2020-11-09,2020-S46,28,Normandie,15-64 ans,675.99434051,404.8582996,1257.5452716
